user,lemak,protein,karbohidrat,gula,class
0,81.11,0.85,0.06,0.06,0
2,78.3,0.49,2.87,0.06,1
2,99.48,0.28,0.0,0.0,1
3,28.74,21.4,2.34,0.5,2
1,29.68,23.24,2.79,0.51,1
2,27.68,20.75,0.45,0.45,1
0,24.26,19.8,0.46,0.46,0
3,29.2,25.18,3.06,0.0,2
3,33.31,22.87,3.09,0.48,2
2,30.6,23.37,4.78,0.0,1
3,32.11,23.76,2.57,0.52,2
0,4.3,11.12,3.38,2.67,0
0,3.85,10.69,4.61,2.38,0
1,0.29,10.34,6.66,1.85,0
2,2.27,10.45,4.76,4.0,1
3,1.02,12.39,2.72,2.72,1
1,34.44,6.15,5.52,3.76,1
0,27.8,24.99,1.43,1.43,1
2,21.28,14.21,4.09,4.09,1
2,31.14,25.6,1.55,1.55,2
3,29.51,9.65,42.65,0.0,1
3,27.44,24.94,2.22,2.22,2
2,32.34,29.81,0.36,0.36,1
1,27.25,20.05,0.49,0.49,1
3,30.28,24.48,0.68,0.5,2
0,22.35,22.17,2.19,1.03,1
1,24.64,21.6,2.47,1.01,1
2,15.92,24.26,2.77,1.13,2
0,19.78,23.75,5.58,1.9,1
2,30.04,23.41,1.12,1.12,2
0,22.78,9.15,3.59,3.19,0
0,27.84,28.42,13.91,0.07,1
1,25.83,35.75,3.22,0.8,1
2,28.2,23.78,0.57,0.57,1
3,26.62,25.58,2.14,0.56,2
0,12.98,11.26,3.04,0.27,0
1,7.91,11.39,5.14,0.31,0
0,26.94,31.8,3.63,0.73,1
1,30.64,21.54,2.0,0.0,1
2,30.99,26.96,1.44,0.0,1
0,25.98,24.41,1.88,0.0,1
2,30.71,18.13,4.78,2.26,1
1,31.2,22.13,1.73,0.62,1
0,25.01,24.73,2.1,1.23,1
3,24.46,19.66,8.32,0.0,1
2,25.63,16.86,8.56,5.59,2
1,24.14,21.92,4.5,0.0,1
1,21.23,16.41,8.73,7.32,1
3,10.39,3.13,4.73,4.13,1
2,19.1,2.96,2.82,3.67,1
1,30.91,2.17,2.96,2.96,1
3,36.08,2.84,2.74,2.92,1
0,22.22,3.2,12.49,8.0,1
2,12.0,2.94,4.26,0.16,1
3,19.35,2.44,4.63,3.41,1
1,4.19,4.55,8.05,8.05,1
0,16.57,3.25,4.68,4.68,0
1,3.46,3.33,4.74,0.0,0
3,3.4,3.33,4.74,4.74,1
1,0.0,21.05,10.53,5.26,1
2,9.97,1.0,11.38,11.38,1
3,9.97,1.0,11.38,0.0,1
1,32.92,2.48,59.29,7.77,2
2,39.92,4.9,52.54,52.54,2
1,12.72,3.61,17.13,17.13,1
0,22.3,0.98,16.07,16.07,1
0,25.31,1.25,23.05,23.05,1
2,19.52,2.4,6.63,6.63,1
1,3.41,1.75,6.16,0.0,0
0,3.25,3.15,4.8,5.05,0
1,3.66,3.28,4.65,0.0,0
2,1.98,3.3,4.8,5.06,1
3,1.92,3.48,4.97,0.0,0
1,1.98,3.95,5.49,5.26,0
2,0.97,3.37,4.99,5.2,1
1,0.97,3.48,4.97,0.0,0
0,1.17,3.93,5.52,0.0,0
0,0.08,3.37,4.96,5.09,0
2,0.25,3.57,5.02,5.02,1
2,0.25,3.96,5.56,0.0,0
0,0.88,3.31,4.79,4.79,0
2,3.46,3.1,4.46,4.46,1
1,26.71,26.32,38.42,38.42,2
1,0.77,36.16,51.98,51.98,2
2,0.72,35.1,52.19,52.19,2
1,0.2,35.5,51.8,0.0,1
1,5.78,34.3,49.0,49.0,2
1,8.7,7.91,54.4,54.4,2
0,7.56,6.81,10.04,10.04,1
2,0.2,7.55,11.35,11.35,1
3,3.39,3.17,10.34,9.54,1
3,1.9,2.99,12.13,9.55,1
2,1.0,3.46,9.86,9.94,1
1,2.34,3.52,10.74,9.66,0
0,4.14,3.56,4.45,4.45,0
2,4.38,1.03,6.89,6.89,1
3,6.89,3.75,5.18,0.0,1
1,7.0,5.98,5.36,0.0,0
3,2.7,3.05,21.15,20.85,1
3,3.03,3.86,17.75,17.75,2
2,0.09,0.76,5.12,5.12,1
3,0.54,11.73,73.45,73.45,2
3,0.36,0.85,5.14,5.14,1
2,1.07,12.93,74.46,74.46,2
3,3.25,3.47,4.66,4.66,1
2,1.55,5.25,7.04,7.04,1
2,0.18,5.73,7.68,7.68,1
1,1.25,4.93,13.8,13.8,1
2,1.15,3.98,18.64,18.64,1
1,1.08,4.37,19.05,19.05,1
0,1.41,4.86,18.6,0.0,0
2,9.51,12.56,0.72,0.37,1
0,0.17,10.9,0.73,0.71,0
0,26.54,15.86,3.59,0.56,0
0,25.6,15.53,0.81,0.16,0
1,22.82,13.87,10.95,10.3,2
0,14.84,13.61,0.83,0.4,0
3,10.61,12.58,1.12,1.12,2
3,11.66,10.57,0.64,0.31,1
2,9.47,12.51,0.71,0.37,1
0,10.98,9.99,1.61,1.39,0
2,43.9,48.05,1.13,0.56,1
2,43.95,48.17,2.38,0.0,1
0,0.04,76.92,4.17,0.0,0
2,0.04,82.4,4.47,0.0,1
1,59.13,33.63,0.66,0.23,1
3,13.77,12.81,1.45,0.93,1
2,13.27,13.87,1.35,0.94,1
3,11.09,13.05,0.41,0.4,1
3,11.88,13.68,1.15,0.0,1
